2022-03-01;Bragantino;6;0;Flamengo;
2022-03-01;Flamengo;1;4;Fluminense;
2022-03-02;Flamengo;2;5;Santos;
2022-03-03;Flamengo;2;5;Atlético-GO;
2022-03-04;Flamengo;3;5;Athletico Paranaense;
2022-03-04;Flamengo;4;5;Palmeiras;
2022-03-05;Flamengo;5;1;Avaí;
2022-03-08;Flamengo;5;2;Botafogo;
2022-03-08;Internacional;3;0;Flamengo;
2022-03-09;Flamengo;4;0;Internacional;
2022-03-10;Santos;0;3;Flamengo;
2022-03-13;Fortaleza;6;6;Flamengo;
2022-03-14;América-MG;2;6;Flamengo;
2022-03-14;Flamengo;2;4;Coritiba;
2022-03-15;Fluminense;3;6;Flamengo;
2022-03-17;Atlético-MG;4;1;Flamengo;
2022-03-17;Coritiba;3;0;Flamengo;
2022-03-17;Flamengo;0;5;Cuiabá;
2022-03-17;Flamengo;6;3;Goiás;
2022-03-17;Flamengo;0;1;Juventude;
2022-03-18;Athletico Paranaense;5;1;Flamengo;
2022-03-18;Palmeiras;3;3;Flamengo;
2022-03-19;Flamengo;4;2;Bragantino;
2022-03-19;Goiás;1;2;Flamengo;
2022-03-20;Flamengo;3;2;Fortaleza;
2022-03-20;Flamengo;6;2;São Paulo;
2022-03-21;Flamengo;2;5;América-MG;
2022-03-24;Ceará;3;4;Flamengo;
2022-03-24;Cuiabá;4;4;Flamengo;
2022-03-24;São Paulo;1;4;Flamengo;
2022-03-25;Botafogo;5;1;Flamengo;
2022-03-26;Flamengo;3;4;Atlético-MG;
2022-03-27;Flamengo;0;4;Ceará;
2022-03-27;Juventude;1;0;Flamengo;
2022-03-30;Avaí;0;5;Flamengo;
2022-03-31;Atlético-GO;1;4;Flamengo;
2022-03-31;Corinthians;5;3;Flamengo;
2022-03-31;Flamengo;4;0;Corinthians;

