2022-03-01;Ceará;3;0;Avaí;
2022-03-02;Ceará;4;1;Internacional;
2022-03-02;Ceará;1;0;São Paulo;
2022-03-03;Ceará;5;3;Atlético-GO;
2022-03-03;Ceará;3;2;Cuiabá;
2022-03-04;Avaí;2;6;Ceará;
2022-03-04;Ceará;0;1;Palmeiras;
2022-03-04;Corinthians;3;0;Ceará;
2022-03-05;Ceará;0;2;Juventude;
2022-03-06;Ceará;5;3;Corinthians;
2022-03-07;Internacional;3;2;Ceará;
2022-03-08;América-MG;6;6;Ceará;
2022-03-11;Atlético-MG;3;4;Ceará;
2022-03-14;Ceará;1;2;Fluminense;
2022-03-15;Botafogo;0;2;Ceará;
2022-03-15;Ceará;2;4;Bragantino;
2022-03-16;Ceará;5;4;Athletico Paranaense;
2022-03-16;Ceará;5;4;Coritiba;
2022-03-17;Ceará;1;4;Atlético-MG;
2022-03-17;Ceará;5;4;Goiás;
2022-03-18;Atlético-GO;5;6;Ceará;
2022-03-18;Fluminense;2;2;Ceará;
2022-03-19;Santos;6;4;Ceará;
2022-03-21;Ceará;1;0;Fortaleza;
2022-03-22;Coritiba;6;2;Ceará;
2022-03-22;Fortaleza;0;4;Ceará;
2022-03-23;Ceará;2;6;Santos;
2022-03-24;Ceará;3;4;Flamengo;
2022-03-24;Juventude;4;2;Ceará;
2022-03-24;Palmeiras;1;3;Ceará;
2022-03-25;Ceará;3;4;América-MG;
2022-03-26;Goiás;3;1;Ceará;
2022-03-27;Flamengo;0;4;Ceará;
2022-03-28;Athletico Paranaense;0;6;Ceará;
2022-03-28;Bragantino;6;2;Ceará;
2022-03-28;Cuiabá;0;4;Ceará;
2022-03-29;São Paulo;1;6;Ceará;
2022-03-30;Ceará;0;5;Botafogo;

