2022-03-02;Atlético-GO;1;6;São Paulo;
2022-03-02;Ceará;1;0;São Paulo;
2022-03-02;São Paulo;4;0;Athletico Paranaense;
2022-03-03;Fortaleza;6;0;São Paulo;
2022-03-03;São Paulo;5;4;Coritiba;
2022-03-04;São Paulo;0;5;Internacional;
2022-03-04;São Paulo;3;6;Santos;
2022-03-05;Coritiba;1;2;São Paulo;
2022-03-05;São Paulo;6;2;Atlético-MG;
2022-03-06;São Paulo;0;3;Corinthians;
2022-03-07;Bragantino;3;0;São Paulo;
2022-03-07;Cuiabá;2;1;São Paulo;
2022-03-08;São Paulo;1;1;América-MG;
2022-03-08;São Paulo;1;4;Fluminense;
2022-03-09;América-MG;1;5;São Paulo;
2022-03-09;Goiás;1;1;São Paulo;
2022-03-11;Corinthians;2;5;São Paulo;
2022-03-11;São Paulo;1;4;Fortaleza;
2022-03-13;Avaí;2;2;São Paulo;
2022-03-14;São Paulo;5;4;Palmeiras;
2022-03-15;São Paulo;4;0;Atlético-GO;
2022-03-16;Atlético-MG;0;6;São Paulo;
2022-03-16;Fluminense;2;0;São Paulo;
2022-03-17;São Paulo;6;5;Juventude;
2022-03-19;Santos;2;6;São Paulo;
2022-03-20;Flamengo;6;2;São Paulo;
2022-03-20;São Paulo;2;2;Cuiabá;
2022-03-22;Juventude;3;5;São Paulo;
2022-03-22;São Paulo;6;5;Avaí;
2022-03-22;São Paulo;6;1;Bragantino;
2022-03-24;São Paulo;1;4;Flamengo;
2022-03-24;São Paulo;5;6;Goiás;
2022-03-26;Palmeiras;2;4;São Paulo;
2022-03-27;Athletico Paranaense;1;5;São Paulo;
2022-03-28;Botafogo;2;3;São Paulo;
2022-03-29;Internacional;6;1;São Paulo;
2022-03-29;São Paulo;0;4;Botafogo;
2022-03-29;São Paulo;1;6;Ceará;

